Datetime,CanopyTemp, 
9/01/2016 5:30,15.82, 
9/01/2016 5:35,15.67, 
9/01/2016 5:40,15.85, 
9/01/2016 5:45,16, 
9/01/2016 5:50,15.65, 
9/01/2016 5:55,15.19, 
9/01/2016 6:00,14.87, 
9/01/2016 6:05,14.7, 
9/01/2016 6:10,14.54, 
9/01/2016 6:15,14.49, 
9/01/2016 6:20,14.62, 
9/01/2016 6:25,14.69, 
9/01/2016 6:30,14.99, 
9/01/2016 6:35,15.27, 
9/01/2016 6:40,15.37, 
9/01/2016 6:45,15.52, 
9/01/2016 6:50,15.59, 
9/01/2016 6:55,15.84, 
9/01/2016 7:00,16.42, 
9/01/2016 7:05,16.78, 
9/01/2016 7:10,17.06, 
9/01/2016 7:15,17.59, 
9/01/2016 7:20,18.19, 
9/01/2016 7:25,18.59, 
9/01/2016 7:30,19.24, 
9/01/2016 7:35,19.84, 
9/01/2016 7:40,20.08, 
9/01/2016 7:45,20.96, 
9/01/2016 7:50,21.12, 
9/01/2016 7:55,21.36, 
9/01/2016 8:00,22.12, 
9/01/2016 8:05,22.32, 
9/01/2016 8:10,21.22, 
9/01/2016 8:15,22.53, 
9/01/2016 8:20,22.39, 
9/01/2016 8:25,22.36, 
9/01/2016 8:30,22.07, 
9/01/2016 8:35,22.27, 
9/01/2016 8:40,22.31, 
9/01/2016 8:45,23.03, 
9/01/2016 8:50,23.2, 
9/01/2016 8:55,23.59, 
9/01/2016 9:00,23.41, 
9/01/2016 9:05,23.26, 
9/01/2016 9:10,23, 
9/01/2016 9:15,22.62, 
9/01/2016 9:20,22.57, 
9/01/2016 9:25,22.66, 
9/01/2016 9:30,23.34, 
9/01/2016 9:35,23.66, 
9/01/2016 9:40,24.74, 
9/01/2016 9:45,24.23, 
9/01/2016 9:50,24.36, 
9/01/2016 9:55,24.03, 
9/01/2016 10:00,23.53, 
9/01/2016 10:05,23.77, 
9/01/2016 10:10,23.67, 
9/01/2016 10:15,24.02, 
9/01/2016 10:20,23.67, 
9/01/2016 10:25,23.95, 
9/01/2016 10:30,23.85, 
9/01/2016 10:35,24.66, 
9/01/2016 10:50,24.54, 
9/01/2016 10:55,24.82, 
9/01/2016 11:00,24.69, 
9/01/2016 11:05,24.41, 
9/01/2016 11:10,24.26, 
9/01/2016 11:15,25.31, 
9/01/2016 11:20,26.21, 
9/01/2016 11:25,26.51, 
9/01/2016 11:30,26.86, 
9/01/2016 11:35,25.04, 
9/01/2016 11:40,24.89, 
9/01/2016 11:45,26.09, 
9/01/2016 11:50,26.61, 
9/01/2016 11:55,26.27, 
9/01/2016 12:00,27.57, 
9/01/2016 12:05,27.22, 
9/01/2016 12:10,28.3, 
9/01/2016 12:15,28.74, 
9/01/2016 12:20,26.5, 
9/01/2016 12:25,25.81, 
9/01/2016 12:30,26.65, 
9/01/2016 12:35,25.65, 
9/01/2016 12:40,25.33, 
9/01/2016 12:45,27.6, 
9/01/2016 12:50,27.42, 
9/01/2016 12:55,26.3, 
9/01/2016 13:00,27.77, 
9/01/2016 13:05,27.35, 
9/01/2016 13:10,28.83, 
9/01/2016 13:20,27.68, 
9/01/2016 13:25,28.49, 
9/01/2016 13:35,28.44, 
9/01/2016 13:40,27.87, 
9/01/2016 13:45,27.92, 
9/01/2016 13:50,28.84, 
9/01/2016 13:55,26.58, 
9/01/2016 14:00,25.55, 
9/01/2016 14:05,27.95, 
9/01/2016 14:10,27.75, 
9/01/2016 14:15,27.38, 
9/01/2016 14:20,27.11, 
9/01/2016 14:25,29, 
9/01/2016 14:30,28.94, 
9/01/2016 14:35,28.88, 
9/01/2016 14:40,28.9, 
9/01/2016 14:50,25.33, 
9/01/2016 14:55,27.44, 
9/01/2016 15:05,28.59, 
9/01/2016 15:10,28.55, 
9/01/2016 15:15,28.42, 
9/01/2016 15:20,28.9, 
9/01/2016 15:25,28.72, 
9/01/2016 15:30,28.33, 
9/01/2016 15:35,28.24, 
9/01/2016 15:40,28.87, 
9/01/2016 15:45,28.33, 
9/01/2016 15:50,28, 
9/01/2016 15:55,28.24, 
9/01/2016 16:00,28.55, 
9/01/2016 16:05,29.16, 
9/01/2016 16:10,28.16, 
9/01/2016 16:20,28.64, 
9/01/2016 16:25,28.82, 
9/01/2016 16:30,28.86, 
9/01/2016 16:35,28.77, 
9/01/2016 16:40,29.12, 
9/01/2016 16:45,29.34, 
9/01/2016 16:50,29.36, 
9/01/2016 16:55,28.7, 
9/01/2016 17:00,28.83, 
9/01/2016 17:05,28.5, 
9/01/2016 17:10,29.05, 
9/01/2016 17:15,28.76, 
9/01/2016 17:20,28.82, 
9/01/2016 17:25,28.42, 
9/01/2016 17:30,29.29, 
9/01/2016 17:35,28.89, 
9/01/2016 17:40,26.58, 
9/01/2016 17:45,27.44, 
9/01/2016 17:50,26.6, 
9/01/2016 17:55,26.55, 
9/01/2016 18:00,28.24, 
9/01/2016 18:05,29.01, 
9/01/2016 18:10,28.84, 
9/01/2016 18:15,28.84, 
9/01/2016 18:20,29.22, 
9/01/2016 18:25,28.79, 
9/01/2016 18:30,29.34, 
9/01/2016 18:35,29.24, 
9/01/2016 18:40,28.5, 
9/01/2016 18:45,28.87, 
9/01/2016 18:50,27.85, 
9/01/2016 18:55,27.88, 
9/01/2016 19:00,28.13, 
9/01/2016 19:05,29.05, 
9/01/2016 19:10,29.04, 
9/01/2016 19:15,28.61, 
9/01/2016 19:20,28.5, 
9/01/2016 19:25,28.08, 
9/01/2016 19:30,28.13, 
9/01/2016 19:35,27.82, 
9/01/2016 19:40,27.54, 
9/01/2016 19:45,26.77, 
9/01/2016 19:50,26.57, 
9/01/2016 19:55,25.86, 
9/01/2016 20:00,25.25, 
9/01/2016 20:05,24.77, 
9/01/2016 20:10,24.51, 
9/01/2016 20:15,24.13, 
9/01/2016 20:20,23.71, 
9/01/2016 20:25,23.19, 
9/01/2016 20:30,22.86, 
9/01/2016 20:35,22.7, 
9/01/2016 20:40,22.8, 
